	mass_A
t	x	y
1.704000e1	-5.106156e-2	4.892620e-3
1.708000e1	-5.812235e-2	5.753502e-3
1.712000e1	-6.425412e-2	6.623785e-3
1.716000e1	-6.864890e-2	7.475238e-3
1.720000e1	-6.863967e-2	7.490948e-3
1.724000e1	-7.126394e-2	7.548904e-3
1.728000e1	-7.173988e-2	7.500196e-3
1.732000e1	-7.128493e-2	7.875679e-3
1.736000e1	-6.864232e-2	7.187601e-3
1.740000e1	-6.422578e-2	7.007393e-3
1.744000e1	-6.421129e-2	7.011328e-3
1.748000e1	-5.852721e-2	6.178439e-3
1.752000e1	-5.152800e-2	5.294985e-3
1.756000e1	-4.323309e-2	4.398181e-3
1.760000e1	-3.401685e-2	3.476377e-3
1.764000e1	-2.433612e-2	1.775321e-3
1.768000e1	-2.433472e-2	1.778345e-3
1.772000e1	-1.382834e-2	8.609001e-4
1.776000e1	-3.311353e-3	-7.964745e-6
1.780000e1	7.210792e-3	-1.589546e-5
1.784000e1	1.731750e-2	3.697687e-5
1.788000e1	2.701297e-2	8.893269e-4
1.792000e1	2.701946e-2	8.999156e-4
1.796000e1	3.614758e-2	1.019991e-3
1.800000e1	4.448149e-2	1.815759e-3
1.804000e1	5.111150e-2	1.824545e-3
1.808000e1	5.636548e-2	2.613182e-3
1.812000e1	6.119142e-2	3.492150e-3
1.816000e1	6.119153e-2	3.488088e-3
1.820000e1	6.338518e-2	3.515306e-3
1.824000e1	6.426805e-2	3.537269e-3
1.828000e1	6.337978e-2	3.125796e-3
1.832000e1	6.119049e-2	3.087933e-3
1.836000e1	5.721893e-2	2.268560e-3
1.840000e1	5.721349e-2	2.280946e-3
1.844000e1	5.197934e-2	2.185441e-3
1.848000e1	4.537485e-2	2.150732e-3
1.852000e1	3.747976e-2	1.349645e-3
1.856000e1	2.831348e-2	1.306539e-3
1.860000e1	1.864403e-2	4.412338e-4
1.864000e1	1.864094e-2	4.432386e-4
1.868000e1	8.548518e-3	4.246968e-4
1.872000e1	-1.552555e-3	3.936615e-4
1.876000e1	-1.164086e-2	4.305250e-4
1.880000e1	-2.171436e-2	1.362409e-3
1.884000e1	-3.137282e-2	2.997266e-3
1.888000e1	-3.137861e-2	2.971698e-3
1.892000e1	-4.015492e-2	3.994017e-3
1.896000e1	-4.845299e-2	4.870702e-3
1.900000e1	-5.546920e-2	5.733594e-3
1.904000e1	-6.118729e-2	6.575946e-3
1.908000e1	-6.554704e-2	6.646440e-3
1.912000e1	-6.552712e-2	6.670338e-3
1.916000e1	-6.777901e-2	7.448881e-3
1.920000e1	-6.908193e-2	7.459830e-3
1.924000e1	-6.817469e-2	7.113528e-3
1.928000e1	-6.559023e-2	7.056799e-3
1.932000e1	-6.161704e-2	6.220376e-3
1.936000e1	-6.161602e-2	6.250354e-3
1.940000e1	-5.595809e-2	6.094078e-3
1.944000e1	-4.935167e-2	5.266470e-3
1.948000e1	-4.144940e-2	4.374865e-3
1.952000e1	-3.269426e-2	2.681908e-3
1.956000e1	-2.345593e-2	1.771802e-3
1.960000e1	-2.345376e-2	1.775074e-3
1.964000e1	-1.341218e-2	8.587006e-4
1.968000e1	-3.714063e-3	-1.217895e-6
1.972000e1	6.345479e-3	-6.838582e-6
1.976000e1	1.604021e-2	3.203150e-6
1.980000e1	2.563789e-2	8.970914e-4
1.984000e1	2.563355e-2	9.156424e-4
1.988000e1	3.407538e-2	9.867548e-4
1.992000e1	4.188570e-2	9.977474e-4
1.996000e1	4.805392e-2	9.543650e-4
2.000000e1	5.288549e-2	1.756735e-3
2.004000e1	5.724367e-2	2.621307e-3
2.008000e1	5.724689e-2	2.619090e-3
2.012000e1	6.031041e-2	3.491830e-3
2.016000e1	6.118669e-2	3.499974e-3
2.020000e1	6.033008e-2	3.477097e-3
2.024000e1	5.811634e-2	3.068335e-3
2.028000e1	5.418554e-2	2.245610e-3
2.032000e1	5.418573e-2	2.252880e-3
2.036000e1	4.936572e-2	2.177912e-3
2.040000e1	4.277748e-2	2.175389e-3
2.044000e1	3.532124e-2	1.342840e-3
2.048000e1	2.696334e-2	1.298900e-3
2.052000e1	1.735695e-2	4.519015e-4
