	mass_A
t	x	y
1.736000e1	6.696477e-3	-4.303383e-4
1.740000e1	-1.497886e-3	-3.670303e-4
1.744000e1	-9.476793e-3	4.199365e-4
1.748000e1	-1.779820e-2	4.517294e-4
1.752000e1	-2.600617e-2	1.276101e-3
1.756000e1	-3.346792e-2	2.064496e-3
1.760000e1	-4.018061e-2	2.230990e-3
1.764000e1	-4.667403e-2	3.855838e-3
1.768000e1	-5.240588e-2	3.921077e-3
1.772000e1	-5.677025e-2	4.051051e-3
1.776000e1	-5.987300e-2	4.120051e-3
1.780000e1	-5.989757e-2	4.820939e-3
1.784000e1	-6.032862e-2	4.832662e-3
1.788000e1	-5.904426e-2	4.832566e-3
1.792000e1	-5.857126e-2	4.440993e-3
1.796000e1	-5.479612e-2	4.412971e-3
1.800000e1	-4.990360e-2	4.207441e-3
1.804000e1	-4.452994e-2	3.477352e-3
1.808000e1	-3.808140e-2	1.807890e-3
1.812000e1	-3.133352e-2	1.765530e-3
1.816000e1	-2.389110e-2	8.821229e-4
1.820000e1	-1.596991e-2	8.419098e-4
1.824000e1	-7.999848e-3	2.766337e-6
1.828000e1	1.879742e-4	-1.054676e-4
1.832000e1	7.874818e-3	-2.733531e-4
1.836000e1	1.510702e-2	-7.775456e-4
1.840000e1	2.200884e-2	-8.271650e-4
1.844000e1	2.808075e-2	-7.931926e-4
1.848000e1	3.313846e-2	-7.953868e-4
1.852000e1	3.746857e-2	-8.297402e-4
1.856000e1	4.096924e-2	-2.138467e-5
1.860000e1	4.277792e-2	-9.565235e-6
1.864000e1	4.320068e-2	6.646104e-6
1.868000e1	4.321236e-2	4.459808e-6
1.872000e1	4.149308e-2	1.033508e-5
1.876000e1	3.839697e-2	4.137909e-4
1.880000e1	3.452620e-2	4.093614e-4
1.884000e1	2.982786e-2	-3.389277e-4
1.888000e1	2.426767e-2	-4.219166e-4
1.892000e1	1.785667e-2	-4.257130e-4
1.896000e1	1.085186e-2	-5.581046e-4
1.900000e1	3.611178e-3	-4.383599e-4
1.904000e1	-4.097142e-3	3.261224e-4
1.908000e1	-1.194412e-2	3.928430e-4
1.912000e1	-1.952166e-2	1.252797e-3
1.916000e1	-2.705037e-2	1.301902e-3
1.920000e1	-3.397818e-2	2.154243e-3
1.924000e1	-4.040761e-2	2.731506e-3
1.928000e1	-4.606854e-2	3.075417e-3
1.932000e1	-5.103855e-2	3.901418e-3
1.936000e1	-5.484232e-2	3.998171e-3
1.940000e1	-5.636351e-2	4.391351e-3
1.944000e1	-5.769041e-2	4.826493e-3
1.948000e1	-5.766980e-2	4.827365e-3
1.952000e1	-5.636920e-2	4.794039e-3
1.956000e1	-5.378389e-2	4.391547e-3
1.960000e1	-5.011559e-2	3.985149e-3
1.964000e1	-4.557197e-2	3.465086e-3
1.968000e1	-4.019993e-2	2.614166e-3
1.972000e1	-3.405044e-2	1.752316e-3
1.976000e1	-2.742590e-2	1.743751e-3
1.980000e1	-2.034870e-2	8.613577e-4
1.984000e1	-1.258262e-2	2.782317e-5
1.988000e1	-4.920465e-3	-7.296311e-5
1.992000e1	2.338154e-3	-1.750464e-4
1.996000e1	9.619787e-3	-7.503619e-4
2.000000e1	1.619284e-2	-1.158472e-4
2.004000e1	2.207524e-2	-4.423597e-5
2.008000e1	2.745673e-2	8.476204e-5
2.012000e1	3.182848e-2	7.207635e-5
2.016000e1	3.505209e-2	1.600535e-4
2.020000e1	3.762249e-2	-6.733032e-4
2.024000e1	3.886015e-2	-7.857172e-4
2.028000e1	3.910790e-2	-3.564684e-4
2.032000e1	3.851640e-2	-3.037857e-4
2.036000e1	3.720365e-2	-3.450389e-4
2.040000e1	3.445135e-2	-4.019008e-4
2.044000e1	3.085692e-2	-4.523284e-4
2.048000e1	2.608623e-2	-3.958551e-4
2.052000e1	2.058658e-2	-3.988771e-4
2.056000e1	1.444338e-2	-5.660784e-4
2.060000e1	7.643717e-3	-5.501548e-4
2.064000e1	5.831415e-4	-4.304737e-4
2.068000e1	-6.744380e-3	-3.740291e-4
2.072000e1	-1.390749e-2	4.324390e-4
